Date,Day of the Week,Type,Shelf Spaces,Items Sold,Average Price,Markdown,Clearance,Discount,Sales,Variable cost/unit,Inventory & Shelving/unit,Profit
1/10/17,W,High,10,885.6363064,55,0,0,0,48709.99685,22.6,0.90484085,27893.25642
1/11/17,Th,High,20,1463.649646,49.5,0,0,1,72450.65746,22.6,0.971825114,37949.76398
1/12/17,F,High,30,4095.122381,22,0,1,0,90092.69238,22.6,1.109006918,-6998.592477
1/13/17,Sa,High,10,1683.022035,41.25,1,0,0,69424.65896,22.6,0.990446172,29721.41823
1/14/17,Su,High,20,2212.153692,41.25,1,0,0,91251.3398,22.6,1.026896246,38985.01404
1/15/17,M,High,30,1502.923535,55,0,0,0,82660.79442,22.6,0.975355668,47228.83754
1/16/17,T,High,10,919.5165854,55,0,0,0,50573.4122,22.6,0.909846411,28955.7185
1/17/17,W,High,20,2841.912827,22,0,1,0,62522.0822,22.6,1.060297685,-4718.421287
1/18/17,Th,High,30,1613.469996,55,0,0,0,88740.84976,22.6,0.984818989,50687.45197
1/19/17,F,High,10,1058.754988,55,0,0,0,58231.52435,22.6,0.928646528,33320.45248
1/20/17,Sa,High,20,1918.802783,55,0,0,0,105534.1531,22.6,1.007927563,60235.19595
1/21/17,Su,High,30,2587.415287,41.25,1,0,0,106730.8806,22.6,1.047788626,45544.23079
1/22/17,M,High,10,1016.424161,49.5,0,0,1,50312.99597,22.6,0.923206136,26403.44091
1/23/17,T,High,20,1648.310695,41.25,1,0,0,67992.81619,22.6,0.987667496,29113.01157
1/24/17,W,High,30,1600.461694,55,0,0,0,88025.39317,22.6,0.983739657,50280.52125
1/25/17,Th,High,10,932.7922524,55,0,0,0,51303.57388,22.6,0.911757668,29371.98849
1/26/17,F,High,20,1676.559107,49.5,0,0,1,82989.67579,22.6,0.989933176,43439.75849
1/27/17,Sa,High,30,2268.012941,55,0,0,0,124740.7118,22.6,1.030221249,71147.06418
1/28/17,Su,High,15,1417.595831,55,0,0,0,77967.77069,22.6,0.967562352,44558.49256
