Default Channel Grouping,Date,Sessions
Organic Search,9/9/2017,53619.00
Direct,8/15/2017,26756.00
Direct,5/14/2017,26753.00
Organic Search,12/8/2017,53443.00
Organic Search,8/23/2017,53267.00
Organic Search,6/14/2017,53242.00
Organic Search,12/16/2017,53047.00
Organic Search,6/15/2017,52884.00
Paid Search,8/14/2017,158426.00
Organic Search,5/22/2017,52595.00
Organic Search,12/20/2017,52564.00
Organic Search,12/28/2017,52507.00
Direct,8/16/2017,26250.00
Organic Search,11/21/2017,52495.00
Organic Search,8/21/2017,52469.00
Organic Search,8/20/2017,52432.00
Direct,5/2/2017,26150.00
Direct,11/8/2017,26115.00
Organic Search,11/22/2017,52162.00
Direct,5/10/2017,25996.00
Paid Search,12/1/2017,155505.00
Paid Social,12/13/2017,51810.00
Direct,1/5/2018,25892.00
Organic Search,5/21/2017,51735.00
Direct,11/10/2017,25858.00
Organic Search,5/6/2017,51603.00
Direct,4/10/2017,25723.00
Direct,1/7/2018,25651.00
Organic Search,12/27/2017,51289.00
Organic Search,6/16/2017,51257.00
Direct,5/9/2017,25626.00
Organic Search,4/11/2017,51232.00
Organic Search,9/5/2017,51182.00
Paid Search,12/30/2017,152774.00
Direct,11/9/2017,25428.00
(Other),6/14/2017,50849.00
Organic Search,8/19/2017,50799.00
Direct,5/12/2017,25371.00
Organic Search,12/1/2017,50692.00
Organic Search,6/20/2017,50611.00
Organic Search,8/22/2017,50535.00
Direct,4/7/2017,25183.00
Paid Search,10/24/2017,151003.00
Organic Search,12/9/2017,50278.00
Organic Search,5/31/2017,50259.00
Organic Search,9/15/2017,50171.00
Organic Search,3/9/2017,50096.00
Direct,5/11/2017,25007.00
Direct,5/4/2017,24994.00
Email,10/11/2017,99978.00
Paid Social,12/19/2017,49989.00
Paid Search,12/23/2017,149853.00
Email,10/12/2017,99814.00
Organic Search,6/1/2017,49882.00
Organic Search,9/11/2017,49851.00
Organic Search,4/12/2017,49769.00
Organic Search,5/16/2017,49694.00
Direct,12/22/2017,24803.00
Organic Search,5/23/2017,49530.00
Organic Search,5/18/2017,49524.00
Direct,5/7/2017,24740.00
Direct,6/14/2017,24633.00
Direct,4/6/2017,24589.00
Direct,10/25/2017,24586.00
Paid Search,11/19/2017,147084.00
Organic Search,9/6/2017,49009.00
Paid Search,4/26/2017,145916.00
Paid Search,1/1/2018,145897.00
Direct,12/29/2017,24300.00
Organic Search,6/18/2017,48588.00
Direct,11/12/2017,24260.00
Email,11/28/2017,97039.00
Direct,8/19/2017,24156.00
Organic Search,5/17/2017,48149.00
(Other),3/16/2017,48142.00
Organic Search,6/19/2017,48142.00
Organic Search,6/12/2017,48073.00
Organic Search,6/6/2017,47979.00
Paid Search,11/16/2017,143712.00
Direct,5/18/2017,23889.00
(Other),11/26/2017,47753.00
Organic Search,5/29/2017,47628.00
Direct,8/21/2017,23723.00
Organic Search,6/4/2017,47288.00
Organic Search,6/5/2017,47276.00
Paid Search,4/4/2017,141526.00
Direct,12/23/2017,23563.00
(Other),11/30/2017,46930.00
Organic Search,4/13/2017,46880.00
Organic Search,5/25/2017,46767.00
(Other),11/25/2017,46748.00
Direct,5/6/2017,23346.00
Organic Search,5/30/2017,46654.00
Organic Search,6/7/2017,46610.00
Organic Search,11/19/2017,46560.00
Paid Search,8/15/2017,139623.00
(Other),11/24/2017,46472.00
(Other),12/3/2017,46359.00
Direct,10/2/2017,23126.00
Organic Search,11/17/2017,46233.00
Paid Search,11/20/2017,138681.00
Organic Search,1/5/2018,46189.00
Organic Search,10/15/2017,46177.00
Paid Search,11/22/2017,138399.00
Organic Search,8/24/2017,46101.00
Organic Search,12/21/2017,46014.00
Organic Search,10/23/2017,45995.00
Organic Search,8/27/2017,45888.00
Organic Search,1/23/2017,45831.00
Direct,8/20/2017,22913.00
Organic Search,11/8/2017,45712.00
Organic Search,6/21/2017,45643.00
Organic Search,10/25/2017,45605.00
Direct,8/22/2017,22796.00
Organic Search,9/16/2017,45517.00
Organic Search,4/20/2017,45480.00
Organic Search,5/24/2017,45473.00
Email,9/14/2017,90934.00
Organic Search,6/17/2017,45247.00
Direct,5/16/2017,22605.00
Organic Search,10/1/2017,45178.00
Referral,4/4/2017,180663.00
Organic Search,9/18/2017,45134.00
Organic Search,12/2/2017,45090.00
Direct,6/15/2017,22501.00
Direct,3/9/2017,22489.00
Organic Search,6/2/2017,44952.00
Direct,9/10/2017,22457.00
Organic Search,9/17/2017,44783.00
Organic Search,10/16/2017,44776.00
Paid Search,12/24/2017,134216.00
Organic Search,5/19/2017,44726.00
Direct,12/30/2017,22347.00
Direct,8/23/2017,22341.00
Organic Search,9/13/2017,44626.00
Organic Search,6/3/2017,44550.00
Paid Search,12/31/2017,133481.00
Organic Search,4/18/2017,44481.00
Paid Search,11/7/2017,133293.00
Organic Search,4/14/2017,44425.00
Direct,4/11/2017,22206.00
Organic Search,11/13/2017,44393.00
Paid Social,1/2/2018,44236.00
Paid Search,11/18/2017,132558.00
Organic Search,11/15/2017,44136.00
Organic Search,11/10/2017,44035.00
Paid Search,11/10/2017,132106.00
Organic Search,6/8/2017,44004.00
Direct,11/11/2017,21999.00
Organic Search,4/17/2017,43998.00
(Other),11/12/2017,43929.00
Organic Search,8/29/2017,43816.00
Direct,5/22/2017,21898.00
Organic Search,6/9/2017,43784.00
Referral,11/27/2017,175011.00
Paid Search,10/1/2017,131221.00
Organic Search,8/25/2017,43728.00
Direct,4/8/2017,21845.00
Organic Search,8/28/2017,43527.00
Direct,6/1/2017,21754.00
Organic Search,5/26/2017,43432.00
Direct,5/5/2017,21657.00
Direct,9/9/2017,21631.00
Organic Search,4/21/2017,43244.00
Organic Search,4/19/2017,43238.00
Paid Search,11/21/2017,129412.00
Organic Search,11/9/2017,43049.00
Organic Search,10/6/2017,42980.00
Direct,11/6/2017,21484.00
Direct,12/24/2017,21396.00
Direct,6/16/2017,21355.00
Organic Search,5/20/2017,42698.00
Organic Search,11/14/2017,42679.00
Organic Search,1/7/2018,42666.00
(Other),12/5/2017,42660.00
Direct,1/1/2018,21321.00
Organic Search,10/4/2017,42635.00
Direct,8/24/2017,21311.00
Organic Search,9/19/2017,42604.00
Organic Search,11/28/2016,42585.00
Referral,12/5/2016,170288.00
Organic Search,1/6/2018,42553.00
Organic Search,10/9/2017,42541.00
Organic Search,9/12/2017,42490.00
(Other),12/6/2017,42484.00
Paid Search,11/17/2017,127434.00
(Other),12/2/2017,42409.00
Direct,6/6/2017,21195.00
Organic Search,8/8/2017,42208.00
Organic Search,6/22/2017,42183.00
Organic Search,11/18/2017,42183.00
Direct,9/15/2017,21025.00
Direct,5/17/2017,21022.00
Organic Search,10/12/2017,41925.00
Paid Search,10/8/2017,125682.00
Direct,10/4/2017,20938.00
Organic Search,6/23/2017,41869.00
Organic Search,12/29/2017,41831.00
Organic Search,11/12/2017,41806.00
Direct,9/5/2017,20897.00
Social,4/20/2017,10439.00
Paid Search,8/20/2017,125192.00
Paid Search,9/10/2017,125154.00
Direct,4/9/2017,20818.00
Organic Search,10/5/2017,41580.00
Direct,10/26/2017,20777.00
Paid Search,11/12/2017,124457.00
(Other),11/28/2017,41404.00
Direct,8/25/2017,20696.00
Direct,4/12/2017,20658.00
Organic Search,11/6/2017,41234.00
Direct,5/23/2017,20605.00
Organic Search,6/28/2017,41209.00
Organic Search,5/28/2017,41134.00
Paid Search,4/27/2017,123402.00
Referral,12/16/2017,164511.00
(Other),6/20/2017,41096.00
Paid Search,8/18/2017,123289.00
Organic Search,12/22/2017,41084.00
Paid Search,8/21/2017,123176.00
Direct,10/23/2017,20514.00
Direct,9/18/2017,20504.00
(Other),11/11/2017,40977.00
(Other),11/16/2017,40952.00
Direct,5/19/2017,20448.00
Direct,9/11/2017,20441.00
(Other),11/27/2017,40807.00
(Other),12/1/2017,40807.00
Organic Search,8/30/2017,40795.00
Organic Search,6/11/2017,40745.00
Paid Search,9/15/2017,122064.00
Paid Search,10/25/2017,121989.00
Paid Search,9/16/2017,121932.00
Direct,6/7/2017,20319.00
Organic Search,6/26/2017,40575.00
Direct,6/19/2017,20284.00
Organic Search,10/8/2017,40556.00
Direct,10/11/2017,20269.00
Organic Search,6/27/2017,40531.00
Direct,11/2/2017,20218.00
Organic Search,8/11/2017,40437.00
Organic Search,7/12/2017,40424.00
Direct,12/14/2016,20203.00
Paid Search,9/30/2017,121179.00
Organic Search,10/17/2017,40292.00
Paid Search,11/15/2017,120689.00
Organic Search,9/20/2017,40192.00
Organic Search,10/11/2017,40104.00
Organic Search,9/28/2017,40073.00
Organic Search,10/10/2017,40066.00
Paid Search,4/5/2017,120162.00
Organic Search,4/15/2017,39985.00
Paid Search,9/9/2017,119954.00
Direct,10/27/2017,19970.00
Paid Search,8/27/2017,119822.00
Direct,10/17/2017,19936.00
Organic Search,5/27/2017,39847.00
Direct,11/28/2016,19895.00
Direct,10/16/2017,19873.00
Organic Search,9/25/2017,39696.00
Direct,5/21/2017,19839.00
Social,3/9/2017,9916.00
Referral,12/6/2016,158156.00
Paid Search,11/11/2017,118504.00
Organic Search,10/13/2017,39476.00
Referral,10/8/2017,157779.00
Direct,5/31/2017,19710.00
Direct,6/5/2017,19707.00
Direct,10/12/2017,19685.00
Paid Search,9/28/2017,118033.00
Direct,9/19/2017,19669.00
Organic Search,9/7/2017,39263.00
Paid Search,11/13/2017,117788.00
Paid Search,10/7/2017,117599.00
Referral,11/21/2017,156523.00
Organic Search,8/26/2017,39124.00
Email,12/8/2016,78211.00
Direct,6/8/2017,19543.00
Direct,7/12/2017,19537.00
Organic Search,10/26/2017,39062.00
Organic Search,11/5/2017,39062.00
Organic Search,6/25/2017,39036.00
Direct,9/13/2017,19506.00
Organic Search,9/30/2017,39005.00
Direct,9/16/2017,19477.00
Organic Search,4/22/2017,38911.00
Paid Search,9/17/2017,116733.00
Organic Search,6/10/2017,38905.00
Paid Search,10/6/2017,116695.00
Social,4/4/2017,9723.00
Direct,5/25/2017,19430.00
(Other),11/9/2017,38817.00
Paid Search,8/19/2017,116375.00
Direct,10/5/2017,19393.00
Paid Search,11/14/2017,116337.00
Direct,10/31/2017,19371.00
Organic Search,4/16/2017,38741.00
Organic Search,7/24/2017,38697.00
(Other),12/4/2017,38691.00
Referral,4/19/2017,154714.00
Direct,10/9/2017,19330.00
Email,11/28/2016,77294.00
Organic Search,10/19/2017,38641.00
(Other),6/19/2017,38616.00
Direct,12/31/2017,19295.00
Organic Search,9/29/2017,38496.00
Direct,5/24/2017,19239.00
Direct,11/1/2017,19229.00
Direct,11/5/2017,19176.00
Direct,10/3/2017,19154.00
Direct,6/20/2017,19135.00
Paid Search,8/16/2017,114773.00
Organic Search,9/26/2017,38182.00
(Other),11/29/2017,38157.00
Organic Search,10/18/2017,38044.00
Organic Search,8/31/2017,38000.00
(Other),4/5/2017,37988.00
Direct,8/8/2017,18988.00
Direct,4/13/2017,18956.00
Organic Search,10/7/2017,37906.00
Paid Search,10/2/2017,113492.00
Paid Search,8/22/2017,112983.00
Paid Search,11/8/2017,112946.00
Social,10/14/2016,9401.00
Direct,11/3/2017,18787.00
Organic Search,9/27/2017,37517.00
Referral,1/3/2017,150042.00
Organic Search,10/14/2017,37485.00
Direct,10/30/2017,18721.00
Direct,9/12/2017,18702.00
Direct,4/18/2017,18683.00
Organic Search,9/22/2017,37366.00
Organic Search,6/24/2017,37360.00
Paid Search,10/9/2017,112079.00
Email,11/8/2017,74506.00
Organic Search,10/30/2017,37134.00
Direct,10/10/2017,18564.00
Paid Search,10/5/2017,111382.00
Direct,4/21/2017,18557.00
Organic Search,9/21/2017,37115.00
Direct,6/9/2017,18551.00
Organic Search,11/2/2017,37090.00
Organic Search,6/29/2017,37077.00
Direct,8/29/2017,18532.00
Direct,5/30/2017,18517.00
Direct,8/27/2017,18501.00
Organic Search,10/27/2017,37002.00
Direct,6/27/2017,18476.00
Direct,9/6/2017,18454.00
Direct,10/29/2017,18426.00
Direct,10/8/2017,18416.00
Direct,9/17/2017,18410.00
Direct,10/19/2017,18372.00
Paid Search,9/11/2017,110082.00
Paid Search,11/5/2017,109988.00
Paid Search,10/3/2017,109969.00
Referral,11/24/2017,146500.00
Direct,9/20/2017,18300.00
Organic Search,10/22/2017,36550.00
Organic Search,10/31/2017,36499.00
Direct,8/30/2017,18237.00
Direct,8/28/2017,18209.00
Direct,5/26/2017,18187.00
Paid Search,10/4/2017,108933.00
Organic Search,9/8/2017,36292.00
Direct,10/18/2017,18134.00
Organic Search,11/3/2017,36254.00
Direct,10/6/2017,18096.00
Organic Search,11/11/2017,36185.00
Organic Search,10/20/2017,36148.00
Paid Search,10/15/2017,108405.00
Organic Search,1/2/2017,36060.00
Direct,6/2/2017,18002.00
Paid Social,1/1/2018,35978.00
(Other),6/17/2017,35940.00
Organic Search,1/4/2017,35934.00
Organic Search,12/23/2017,35909.00
Paid Social,1/7/2018,35890.00
Direct,6/21/2017,17914.00
Paid Search,4/30/2017,107388.00
Organic Search,9/1/2017,35777.00
Paid Search,10/22/2017,107313.00
Paid Search,8/23/2017,107162.00
Direct,6/28/2017,17851.00
Social,11/27/2017,8891.00
Organic Search,11/1/2017,35557.00
Paid Search,6/13/2017,106653.00
Direct,10/15/2017,17757.00
Organic Search,1/1/2018,35451.00
Direct,10/20/2017,17691.00
Referral,8/17/2017,141526.00
Referral,9/10/2017,141400.00
Paid Search,5/3/2017,105918.00
Organic Search,9/24/2017,35262.00
Paid Search,9/18/2017,105636.00
Organic Search,4/3/2017,35181.00
Social,4/23/2017,8795.00
Paid Search,4/29/2017,105523.00
Paid Search,10/10/2017,105410.00
Direct,4/17/2017,17562.00
Paid Search,10/11/2017,105316.00
Paid Search,10/14/2017,105297.00
Referral,10/9/2017,140396.00
Referral,10/27/2017,140371.00
Organic Search,9/23/2017,35086.00
Email,8/18/2017,70148.00
Organic Search,11/4/2017,35068.00
Direct,11/4/2017,17506.00
Paid Search,10/16/2017,104995.00
(Other),11/10/2017,34992.00
Paid Social,1/3/2018,34986.00
Direct,5/29/2017,17487.00
Referral,11/18/2017,139893.00
Organic Search,12/30/2017,34967.00
Direct,9/29/2017,17458.00
Paid Search,9/29/2017,104600.00
Direct,10/13/2017,17430.00
Direct,5/20/2017,17421.00
Paid Search,9/24/2017,104468.00
Organic Search,7/17/2017,34810.00
Direct,6/23/2017,17402.00
Organic Search,3/26/2017,34791.00
Paid Search,10/13/2017,104355.00
Organic Search,6/30/2017,34754.00
(Other),7/13/2017,34735.00
Organic Search,11/25/2016,34728.00
Paid Search,11/9/2017,104091.00
Organic Search,10/29/2017,34653.00
Direct,12/5/2016,17323.00
(Other),6/28/2017,34603.00
Organic Search,9/4/2017,34578.00
Direct,10/1/2017,17286.00
Direct,4/14/2017,17273.00
Referral,8/14/2017,138185.00
Organic Search,7/31/2017,34527.00
Direct,4/19/2017,17232.00
Paid Search,9/13/2017,103375.00
Referral,4/9/2017,137833.00
(Other),11/20/2017,34364.00
Paid Search,5/1/2017,103055.00
Social,8/17/2017,8571.00
Paid Search,5/8/2017,102772.00
Paid Search,10/12/2017,102603.00
Direct,6/18/2017,17082.00
Direct,6/22/2017,17082.00
Paid Search,10/28/2017,102471.00
Paid Search,9/23/2017,102377.00
Direct,6/17/2017,17044.00
Organic Search,3/27/2017,34050.00
Organic Search,8/9/2017,34050.00
Direct,10/7/2017,17022.00
(Other),11/18/2017,34000.00
Organic Search,3/30/2017,33994.00
Paid Search,9/19/2017,101811.00
Paid Search,10/26/2017,101736.00
Direct,6/10/2017,16953.00
Direct,6/29/2017,16947.00
Organic Search,7/26/2017,33862.00
Direct,12/8/2016,16925.00
Paid Social,1/6/2018,33805.00
Organic Search,7/19/2017,33793.00
Referral,4/6/2017,135120.00
(Other),6/18/2017,33774.00
Paid Search,10/23/2017,101284.00
Organic Search,7/25/2017,33755.00
Organic Search,9/3/2017,33749.00
Paid Search,9/20/2017,101208.00
Organic Search,1/1/2017,33717.00
Paid Search,4/28/2017,101039.00
Direct,9/25/2017,16837.00
Paid Search,10/17/2017,100643.00
(Other),11/5/2017,33541.00
Direct,9/30/2017,16771.00
Organic Search,12/25/2016,33485.00
Paid Search,5/9/2017,100285.00
Organic Search,10/21/2017,33422.00
Direct,6/26/2017,16705.00
Direct,10/28/2017,16705.00
Direct,8/31/2017,16683.00
Direct,7/17/2017,16658.00
Direct,4/22/2017,16623.00
Paid Search,5/7/2017,99739.00
Direct,5/27/2017,16611.00
Organic Search,8/7/2017,33171.00
Organic Search,12/24/2017,33127.00
Paid Search,10/29/2017,99230.00
Direct,6/11/2017,16535.00
Organic Search,7/27/2017,33064.00
Paid Search,9/25/2017,99193.00
Paid Search,11/4/2017,99174.00
Direct,12/6/2016,16516.00
Paid Search,8/25/2017,98967.00
Organic Search,7/5/2017,32976.00
Paid Search,9/22/2017,98835.00
Organic Search,7/13/2017,32939.00
Organic Search,8/1/2017,32913.00
Direct,9/26/2017,16447.00
(Other),6/26/2017,32888.00
Organic Search,7/20/2017,32870.00
(Other),3/10/2017,32863.00
Paid Search,10/21/2017,98533.00
(Other),11/13/2017,32813.00
Direct,10/14/2017,16407.00
Organic Search,1/3/2017,32807.00
Referral,11/19/2017,131227.00
Organic Search,7/18/2017,32800.00
Paid Search,5/4/2017,98401.00
Referral,8/30/2017,131152.00
Direct,9/21/2017,16353.00
Direct,6/4/2017,16344.00
(Other),11/14/2017,32669.00
Email,11/17/2017,65224.00
Organic Search,7/22/2017,32606.00
(Other),6/27/2017,32599.00
Organic Search,7/21/2017,32524.00
Organic Search,9/2/2017,32518.00
Paid Search,9/27/2017,97535.00
Direct,9/22/2017,16253.00
Organic Search,8/10/2017,32505.00
Referral,4/7/2017,130021.00
Organic Search,4/2/2017,32449.00
Organic Search,3/31/2017,32405.00
Paid Search,8/24/2017,97196.00
Direct,5/28/2017,16196.00
Paid Search,9/26/2017,97139.00
Direct,9/28/2017,16155.00
Organic Search,8/3/2017,32279.00
Paid Search,8/26/2017,96838.00
Organic Search,10/28/2017,32273.00
Paid Search,9/12/2017,96800.00
Direct,7/13/2017,16086.00
Organic Search,7/10/2017,32166.00
Direct,7/24/2017,16077.00
Referral,11/20/2017,128564.00
Organic Search,12/19/2016,32128.00
Direct,10/22/2017,16052.00
Organic Search,2/7/2017,32097.00
Direct,12/19/2016,16039.00
Paid Search,8/28/2017,96235.00
Direct,12/30/2016,16036.00
Paid Search,9/6/2017,96141.00
Organic Search,8/2/2017,32028.00
Direct,6/3/2017,16011.00
Paid Search,8/11/2017,96046.00
Organic Search,1/24/2017,31921.00
Paid Search,5/2/2017,95745.00
Referral,12/5/2017,127635.00
Direct,8/26/2017,15948.00
Organic Search,3/10/2017,31896.00
Paid Search,11/6/2017,95651.00
Paid Search,5/12/2017,95556.00
Paid Search,8/29/2017,95481.00
Paid Search,10/18/2017,95123.00
Paid Social,1/4/2018,31708.00
Referral,12/20/2016,126781.00
Paid Search,5/11/2017,94859.00
Organic Search,12/28/2016,31588.00
Organic Search,7/30/2017,31507.00
Paid Search,10/27/2017,94464.00
Social,4/22/2017,7870.00
Organic Search,12/26/2016,31457.00
Paid Search,9/21/2017,94275.00
Email,12/6/2017,62838.00
Organic Search,7/14/2017,31419.00
Organic Search,12/20/2016,31400.00
Paid Search,10/20/2017,94200.00
Paid Social,12/28/2017,31362.00
Organic Search,4/1/2017,31325.00
Direct,6/30/2017,15653.00
Direct,10/21/2017,15650.00
Paid Search,5/10/2017,93899.00
Paid Search,5/15/2017,93880.00
Organic Search,7/15/2017,31256.00
Direct,7/5/2017,15612.00
Organic Search,7/11/2017,31186.00
Direct,7/25/2017,15587.00
Organic Search,8/4/2017,31168.00
Organic Search,7/6/2017,31143.00
Organic Search,7/7/2017,31136.00
Paid Search,5/14/2017,93277.00
Paid Search,10/19/2017,93164.00
